Enzyme	Concentration
R_ACNAMtex_enzyme	0.0
R_ACNAMtex_duplicate_2_enzyme	0.0
R_ACNAMtex_duplicate_3_enzyme	0.0
R_ACNML_enzyme	0.0
R_ACOAD1f_enzyme	1.4203245713975694e-06
R_ACOAD2f_enzyme	1.4203245713975694e-06
R_ACOAD3f_enzyme	1.4203245713975694e-06
R_ACOAD4f_enzyme	1.4203245713975694e-06
R_ACOAD5f_enzyme	1.4203245713975694e-06
R_ACOAD6f_enzyme	1.1097273491753472e-06
R_ACOAD7f_enzyme	5.093660346137153e-07
R_ACOAD8f_enzyme	0.0
R_ACOATA_enzyme	0.0
R_ACODA_enzyme	1.1601397945285401e-06
R_ACOLIPAabctex_enzyme	0.0
R_ACONIs_enzyme	0.0
R_ACONMT_enzyme	0.0
R_ACONTa_enzyme	5.3895190498157015e-05
R_ACONTa_duplicate_2_enzyme	0.0
R_ACONTb_enzyme	5.3895190498157015e-05
R_ACONTb_duplicate_2_enzyme	0.0
R_ACOTA_enzyme	1.1601397945285401e-06
R_ACOTA_duplicate_2_enzyme	0.0
R_ACPPAT120_enzyme	0.0
R_ACPPAT140_enzyme	0.0
R_ACPPAT141_enzyme	0.0
R_ACPPAT160_enzyme	0.0
R_ACPPAT161_enzyme	0.0
R_ACPPAT180_enzyme	0.0
R_ACPPAT181_enzyme	0.0
R_ACPS1_enzyme	0.0
R_ACPS1_duplicate_2_enzyme	0.0
R_ACS_enzyme	0.0
R_ACSERtex_enzyme	0.0
R_ACSERtex_duplicate_2_enzyme	0.0
R_ACSERtex_duplicate_3_enzyme	0.0
R_ACSERtex_duplicate_4_enzyme	0.0
R_ACSERtpp_enzyme	0.0
R_ACSERtpp_duplicate_2_enzyme	0.0
R_ACt2rpp_enzyme	0
R_ACt4pp_enzyme	0.0
R_ACtex_enzyme	0.0
